sha,file,type,begin,end
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/trigger/pool/add/AlterPoolAddTriggerDesc.java,MOVE,26,61
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/resourceplan/drop/DropResourcePlanAnalyzer.java,MOVE_RENAME,41,65
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/resourceplan/alter/AbstractAlterResourcePlanStatusOperation.java,RENAME,46,69
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/mapping/create/CreateWMMappingOperation.java,MOVE,28,48
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/resourceplan/alter/AbstractAlterResourcePlanStatusOperation.java,MOVE_RENAME,37,119
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/WMUtils.java,MOVE,32,40
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/resourceplan/alter/validate/AlterResourcePlanValidateDesc.java,MOVE,50,53
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/trigger/TriggerUtils.java,MOVE,51,64
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/resourceplan/create/CreateResourcePlanAnalyzer.java,MOVE_RENAME,41,82
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/mapping/alter/AlterWMMappingOperation.java,MOVE,28,48
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/resourceplan/create/CreateResourcePlanDesc.java,MOVE,27,67
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/trigger/drop/DropWMTriggerAnalyzer.java,MOVE_RENAME,40,52
